CDS_name	CDS_loc	length	gene_name
CG13482-PA	3L:14329437..14329745;	309	CG13482
D-PA	3L:complement(14176190..14177338);	1149	D
Sox21b-PA	3L:complement(join(14113024..14113602,14116266..14116360,14118445..14118572,14118631..14118697,14125086..14125249,14125390..14126072));	1716	Sox21b
Sox21b-PC	3L:complement(join(14112976..14113602,14116266..14116360,14118445..14118572,14118631..14118697,14125086..14125249,14125390..14126072));	1764	Sox21b
Sox21a-PA	3L:complement(join(14104254..14104887,14106542..14107074));	1167	Sox21a
Sox21a-PB	3L:complement(join(14104197..14104887,14106542..14107074));	1224	Sox21a
Fbp1-PA	3L:complement(join(14094810..14097808,14097869..14097959));	3090	Fbp1
Fbp1-PB	3L:complement(14094810..14097803);	2994	Fbp1
Fbp1-PD	3L:complement(join(14094810..14097808,14097875..14097959));	3084	Fbp1
Tsp68C-PA	3L:join(13843861..13843917,13844015..13845046);	1089	Tsp68C
Hml-PA	3L:join(13846208..13846314,13846846..13846941,13847022..13847186,13847248..13847640,13847698..13847825,13847882..13847977,13848081..13848278,13848391..13848554,13848611..13848768,13848830..13848984,13849050..13849652,13849795..13850913,13850996..13851889,13851942..13852490,13852567..13853889,13853954..13854032,13854094..13854343,13854397..13855144,13855205..13855690,13855751..13856257,13856322..13856805,13856870..13858647,13858706..13858918,13858980..13859435,13859492..13859748,13859806..13859931);	11532	Hml
Hml-PB	3L:join(13846208..13846314,13846846..13846941,13847022..13847186,13847251..13847640,13847698..13847825,13847882..13847977,13848081..13848278,13848391..13848554,13848611..13848768,13848830..13848984,13849050..13849652,13849795..13850913,13850996..13851889,13851942..13852490,13852567..13853889,13853954..13854032,13854094..13854343,13854397..13855144,13855205..13855690,13855751..13856257,13856322..13856805,13856870..13858647,13858706..13858918,13858980..13859435,13859492..13859748,13859806..13859931);	11529	Hml
CG13737-PA	3L:13882655..13882891;	237	CG13737
DCTN1-p150-PA	3L:join(13929849..13931198,13931746..13934193);	3798	DCTN1
CG32137-PA	3L:join(13941308..13941475,13959529..13959825,13959889..13960077,13960622..13960687,13960923..13961103,13961173..13961852);	1581	CG32137
CG32137-PB	3L:join(13941026..13941475,13959529..13959825,13959889..13960077,13960622..13960687,13960923..13961103,13961173..13961852);	1863	CG32137
ssp2-PA	3L:join(13965346..13965392,13965524..13965630,13968647..13968702,13968761..13971100,13971162..13971317,13971421..13971663);	2949	ssp2
Hsc70-1-PC	3L:13975970..13977637;	1668	Hsc70
Hsc70-1-PA	3L:join(13974571..13974775,13975917..13977637);	1926	Hsc70
CG17362-PB	3L:13986655..13987116;	462	CG17362
CG9040-PA	3L:13987942..13988427;	486	CG9040
CG17361-PA	3L:13997206..13997838;	633	CG17361
upSET-PA	3L:join(14007850..14009717,14010031..14010587,14010697..14010895,14010996..14017627,14017693..14017877);	9441	upSET
CG6650-PA	3L:join(14032228..14032370,14032425..14032643,14032733..14032897,14032957..14033683,14033745..14033996);	1506	CG6650
CG6661-PA	3L:14034925..14036670;	1746	CG6661
Hsc70Cb-PA	3L:join(14037644..14037750,14039048..14039999,14040064..14040594,14042159..14042359,14042448..14043071);	2415	Hsc70Cb
Hsc70Cb-PG	3L:join(14037644..14037750,14039048..14039999,14040064..14040594,14041427..14041522,14042159..14042359,14042448..14043071);	2511	Hsc70Cb
CG6833-PA	3L:14051336..14052208;	873	CG6833
Pex1-PA	3L:join(14071968..14072060,14072135..14072261,14072382..14072485,14072759..14072873,14072932..14074518,14074577..14074773,14074836..14075459,14075710..14075813,14075876..14075945);	3021	Pex1
CG8100-PA	3L:join(14083628..14083864,14083964..14085673);	1947	CG8100
CG13484-PA	3L:complement(14052541..14052996);	456	CG13484
Nprl3-PB	3L:complement(join(13999735..14001433,14001493..14001626));	1833	Nprl3
CG17359-PA	3L:complement(13998163..13999182);	1020	CG17359
CG17364-PC	3L:complement(join(13981765..13982852,13983104..13983280,13983440..13983601,13983677..13983823,13985121..13985508));	1962	CG17364
CG17364-PD	3L:complement(join(13979037..13979207,13979348..13979640,13982646..13982852,13983104..13983280,13983440..13983601,13983677..13983823,13985121..13985508));	1545	CG17364
CG17364-PE	3L:complement(join(13979620..13979640,13981987..13982852,13983104..13983280,13983440..13983601,13983677..13983823,13985121..13985508));	1761	CG17364
CG13738-PA	3L:complement(13973159..13973440);	282	CG13738
Meics-PA	3L:complement(join(13962773..13964013,13964119..13964629));	1752	Meics
Meics-PB	3L:complement(join(13962773..13964013,13964155..13964629));	1716	Meics
CG8833-PA	3L:complement(join(13925933..13927335,13927394..13928791,13928851..13928908));	2859	CG8833
Rgl-PA	3L:complement(join(13907824..13908969,13909031..13909183,13909256..13909768,13909832..13910215,13910484..13910585,13913962..13914525,13919191..13919193));	2865	Rgl
Rgl-PB	3L:complement(join(13907824..13908969,13909031..13909183,13909256..13909768,13909832..13910215,13910484..13910585,13921699..13921725));	2325	Rgl
Rgl-PE	3L:complement(join(13907767..13908969,13909031..13909183,13909256..13909768,13909832..13910215,13910484..13910585,13913962..13914525,13919191..13919193));	2922	Rgl
CG8745-PA	3L:complement(join(13860757..13861798,13861919..13862153,13865317..13865435,13866603..13866691));	1485	CG8745
CG8750-PA	3L:complement(13842660..13842890);	231	CG8750
CG8757-PB	3L:complement(join(13841274..13841315,13841390..13841530,13841623..13842198));	759	CG8757
CG10738-PC	3L:join(13460263..13460685,13460742..13461051,13461111..13461361,13461493..13461564,13461639..13461784,13461853..13462018,13462203..13462293,13462358..13462545,13462865..13463083,13463142..13463246,13463309..13463380,13463445..13463619,13463679..13464999,13465059..13465266);	3747	CG10738
CG10738-PD	3L:join(13460263..13460685,13460742..13461051,13461111..13461361,13461493..13461564,13461639..13461784,13461853..13462018,13462102..13462107,13462203..13462293,13462358..13462545,13462865..13463083,13463142..13463246,13463309..13463380,13463445..13463619,13463679..13464999,13465059..13465266);	3753	CG10738
CG10738-PE	3L:join(13460263..13460685,13460742..13461051,13461111..13461361,13461493..13461564,13461639..13461784,13461853..13462018,13462102..13462107,13462203..13462293,13462358..13462545,13462904..13463083,13463142..13463246,13463309..13463380,13463445..13463619,13463679..13464999,13465059..13465266);	3714	CG10738
CG10738-PF	3L:join(13460263..13460685,13460742..13461051,13461111..13461361,13461493..13461564,13461639..13461784,13461853..13462018,13462203..13462293,13462358..13462545,13462904..13463083,13463142..13463246,13463309..13463380,13463445..13463619,13463679..13464999,13465059..13465266);	3708	CG10738
Tgi-PB	3L:join(13487670..13487730,13500900..13501214,13501283..13502055);	1149	Tgi
Tgi-PA	3L:join(13495627..13496146,13500900..13501214,13501283..13502055);	1608	Tgi
Liprin-beta-PB	3L:join(13513592..13513792,13513858..13514801,13514863..13515760);	2043	Liprin
CG10710-PA	3L:complement(13516529..13518658);	2130	CG10710
Abp1-PA	3L:complement(join(13484014..13484246,13484310..13484788,13484851..13485027,13485089..13485540,13485603..13485857));	1596	Abp1
CG10089-PD	3L:complement(join(13466858..13466888,13466944..13467139,13467344..13467871,13468444..13468894,13468953..13469069,13469777..13469797));	1344	CG10089
CG10089-PB	3L:complement(join(13468049..13468894,13468953..13469069,13469777..13469797));	984	CG10089
CG10089-PC	3L:complement(join(13468049..13468894,13468953..13469069,13469136..13469156));	984	CG10089
CG10089-PE	3L:complement(join(13466858..13466888,13466944..13467139,13467344..13467871,13468444..13468894,13468953..13469069,13469136..13469156));	1344	CG10089
CG10116-PA	3L:complement(join(13456256..13456955,13457010..13457127,13457187..13457238));	870	CG10116
JMJD7-PA	3L:complement(13449309..13450259);	951	JMJD7
CG33262-PB	3L:join(13136269..13136403,13136461..13136693,13136745..13136855,13136919..13137066);	627	CG33262
caps-PA	3L:13275689..13277311;	1623	caps
caps-PD	3L:13275689..13278031;	2343	caps
caps-PE	3L:13275689..13278124;	2436	caps
SP-PA	3L:join(13301638..13301752,13301818..13301870);	168	SP
CG14113-PA	3L:join(13329218..13329235,13329288..13329518);	249	CG14113
CG17687-PA	3L:join(13349306..13349495,13349548..13350101,13350215..13351257,13351317..13352757,13352809..13353450,13353645..13353788,13353848..13354125,13354186..13354347,13354669..13354849);	4635	CG17687
Nplp2-PA	3L:join(13356599..13356643,13356727..13356852,13357008..13357097);	261	Nplp2
Nplp2-PC	3L:join(13356599..13356643,13356727..13356852,13357008..13357196);	360	Nplp2
SNCF-PA	3L:13378622..13379062;	441	SNCF
CG14111-PB	3L:join(13377987..13378017,13379272..13379615,13379994..13380380);	762	CG14111
ImpL1-PA	3L:join(13382805..13382835,13382911..13383905);	1026	ImpL1
ImpL1-PB	3L:13382805..13383905;	1101	ImpL1
ImpL1-PC	3L:join(13382805..13382835,13382914..13383905);	1023	ImpL1
CG14110-PA	3L:join(13384811..13384874,13384927..13385909);	1047	CG14110
CG14109-PA	3L:join(13441226..13441279,13441627..13442304);	732	CG14109
cmb-PA	3L:join(13442719..13442988,13443300..13443456,13443689..13444086,13444213..13444305,13444368..13445898,13446012..13446280,13446342..13446883,13447274..13448384,13448443..13449045);	4974	cmb
cmb-PB	3L:join(13444222..13444305,13444368..13445898,13446012..13446280,13446342..13446887);	2430	cmb
cmb-PC	3L:join(13442719..13442988,13443300..13443456,13443689..13444086,13444213..13444305,13444368..13445639,13445736..13445898,13446009..13446280,13446342..13446883,13447274..13448384,13448443..13449045);	4881	cmb
cmb-PD	3L:join(13442719..13442988,13443300..13443456,13443689..13444086,13444213..13444305,13444368..13445639,13445739..13445898,13446012..13446280,13446342..13446883,13447274..13448384,13448443..13449045);	4875	cmb
CG10140-PA	3L:complement(join(13439357..13439581,13439644..13440080,13440150..13440371,13440426..13440435));	894	CG10140
CG10154-PA	3L:complement(join(13435854..13436078,13436221..13436705,13436792..13437031,13437096..13437096));	951	CG10154
CG10713-PA	3L:complement(join(13429431..13430199,13430279..13430937));	1428	CG10713
CG14105-PA	3L:complement(join(13425962..13426033,13426089..13426264,13426327..13426636));	558	CG14105
CG14106-PA	3L:complement(13424579..13425592);	1014	CG14106
CG33263-PA	3L:complement(13423485..13424168);	684	CG33263
CG32121-PB	3L:complement(join(13417403..13417856,13417929..13418983,13419087..13419410,13419981..13420094));	1947	CG32121
CG10222-PA	3L:complement(13411529..13412452);	924	CG10222
sens-PA	3L:complement(join(13396835..13397067,13397304..13397454,13399385..13400466,13400748..13400907));	1626	sens
Poc1-PA	3L:complement(join(13388630..13388926,13388994..13389872));	1176	Poc1
Poc1-PB	3L:complement(join(13388450..13388578,13388723..13388926,13388994..13389872));	1212	Poc1
CG10171-PA	3L:complement(join(13386715..13387598,13387666..13387774));	993	CG10171
CG10171-PB	3L:complement(join(13386715..13387610,13387666..13387774));	1005	CG10171
CG14107-PA	3L:complement(join(13380479..13381185,13381249..13381276));	735	CG14107
CG32119-PA	3L:complement(join(13247124..13247937,13247992..13248632));	1455	CG32119
CG14120-PA	3L:12885052..12889167;	4116	CG14120
CG14118-PA	3L:join(12892713..12892860,12893325..12894496);	1320	CG14118
CG10749-PA	3L:12972526..12973569;	1044	CG10749
CG11262-PA	3L:12995184..12997292;	2109	CG11262
CG11263-PA	3L:13006912..13007709;	798	CG11263
CG14117-PD	3L:join(13008628..13008873,13008936..13009187);	498	CG14117
CG14117-PE	3L:join(13008628..13008877,13008936..13008970);	285	CG14117
CG11267-PA	3L:join(13016162..13016164,13016357..13016518,13016587..13016733);	312	CG11267
ste14-PA	3L:join(13018381..13018620,13018688..13019059,13019188..13019475);	900	ste14
SRm160-PA	3L:join(13037253..13037264,13037424..13038658,13038729..13039339,13039405..13040411);	2865	SRm160
RpS4-PA	3L:join(13042012..13042014,13042110..13042368,13042442..13042539,13043166..13043337,13043574..13043827);	786	RpS4
Syx13-PA	3L:join(13044920..13045595,13046217..13046395);	855	Syx13
CG11279-PA	3L:join(13047081..13047171,13047235..13047452);	309	CG11279
trn-PA	3L:13115298..13117511;	2214	trn
trn-PB	3L:13115298..13117553;	2256	trn
CG11251-PA	3L:complement(13088812..13089828);	1017	CG11251
CG17300-PA	3L:complement(join(13086504..13086617,13086744..13087072,13087151..13087166));	459	CG17300
CG14115-PA	3L:complement(join(13060522..13060669,13060754..13061043,13061115..13061234,13061293..13061394));	660	CG14115
AdenoK-PA	3L:complement(join(13020290..13020826,13021074..13021557,13022438..13022454));	1038	AdenoK
AdenoK-PB	3L:complement(join(13020290..13020826,13021074..13021557,13021628..13021644));	1038	AdenoK
mRpL20-PA	3L:complement(join(13017193..13017349,13017404..13017612,13017676..13017762));	453	mRpL20
MICAL-like-PA	3L:complement(13012105..13015137);	3033	MICAL
Cul6-PA	3L:complement(join(13009485..13009859,13009932..13011569));	2013	Cul6
CG10748-PA	3L:complement(12971282..12972331);	1050	CG10748
Or69a-PA	3L:complement(join(12964360..12964410,12964474..12964629,12966759..12967733));	1182	Or69a
Or69a-PB	3L:complement(join(12964360..12964410,12964474..12964629,12964765..12965739));	1182	Or69a
CG10752-PA	3L:complement(join(12952730..12953674,12953863..12954537));	1620	CG10752
CG32115-PA	3L:complement(join(12912040..12912995,12913056..12913527));	1428	CG32115
CG32117-PA	3L:complement(12903025..12903672);	648	CG32117
CG12520-PC	3L:complement(join(12902028..12902047,12902112..12902574));	483	CG12520
CG12520-PB	3L:complement(join(12901375..12902027,12902112..12902574));	1116	CG12520
ara-PA	3L:join(12581103..12581153,12585742..12586293,12589519..12589634,12594165..12594523,12594586..12595661);	2154	ara
ara-PB	3L:join(12581103..12581153,12585742..12586293,12589519..12589634,12594189..12594523,12594586..12595661);	2130	ara
caup-PA	3L:join(12610769..12610819,12616803..12617288,12617591..12617709,12618342..12618664,12619599..12620701);	2082	caup
mirr-PA	3L:join(12694312..12694353,12696500..12697003,12705220..12705326,12707375..12707673,12707983..12708956);	1926	mirr
mirr-PC	3L:join(12694312..12694353,12696500..12697003,12705220..12705326,12707375..12707673,12707983..12709079);	2049	mirr
Ptp69D-PA	3L:join(12735153..12735249,12736058..12736160,12736253..12738096,12738156..12738401,12738460..12738703,12738772..12739666,12739726..12739872,12739929..12740039,12740109..12740288,12740353..12740660,12740722..12740857,12740920..12740997);	4389	Ptp69D
Ptp69D-PB	3L:join(12735153..12735249,12736058..12736160,12736253..12738096,12738156..12738401,12738460..12738703,12738775..12739666,12739726..12739872,12739929..12740039,12740109..12740288,12740353..12740660,12740722..12740857,12740920..12740997);	4386	Ptp69D
CG32112-PC	3L:join(12743041..12743172,12743513..12743625,12743688..12743826,12743888..12743977,12744037..12744746,12744809..12744932);	1308	CG32112
CG32112-PB	3L:join(12741861..12741949,12742905..12743172,12743513..12743625,12743688..12743826,12743888..12743977,12744037..12744746,12744809..12744932);	1533	CG32112
CG32109-PA	3L:join(12745408..12745468,12745729..12745925,12745981..12746236,12746297..12746478);	696	CG32109
CG10984-PC	3L:join(12750607..12750739,12751307..12752922,12752984..12753157);	1923	CG10984
CG10984-PB	3L:join(12750607..12750739,12750802..12750855,12751307..12752922,12752984..12753157);	1977	CG10984
Vps13D-PB	3L:join(12755146..12755242,12755304..12756094,12756405..12757454,12757512..12758422,12758634..12758764,12758902..12759042,12759101..12759728,12759788..12759907,12759969..12760293,12760360..12761152,12761205..12761457,12761519..12761663,12761735..12765070,12765134..12765346,12765405..12766259,12766318..12766626,12766685..12767179,12767237..12768352,12768511..12768561);	11760	Vps13D
CG17666-PA	3L:join(12781462..12781517,12781575..12783269,12783388..12783690,12783745..12784309);	2619	CG17666
CG17666-PB	3L:join(12783440..12783690,12783745..12784309);	816	CG17666
CG32110-PA	3L:12808769..12810004;	1236	CG32110
Wbp2-PD	3L:join(12850276..12850331,12850498..12850797,12850915..12851153,12852427..12852512);	681	Wbp2
Wbp2-PE	3L:join(12850276..12850331,12850498..12850797,12850915..12851153,12851309..12851722,12852616..12852716,12852781..12852825);	1155	Wbp2
Wbp2-PF	3L:join(12850276..12850331,12850498..12850797,12850915..12851153,12852232..12852236);	600	Wbp2
Wbp2-PG	3L:join(12850276..12850331,12850498..12850797,12850915..12851153,12851309..12851722,12851806..12851825);	1029	Wbp2
Wbp2-PB	3L:join(12850276..12850331,12850498..12850797,12850915..12851153,12851309..12851722,12852232..12852236);	1014	Wbp2
Ent3-PA	3L:join(12854049..12854263,12854452..12855013,12855188..12855433,12855492..12856475);	2007	Ent3
Ent3-PB	3L:join(12854049..12854263,12854452..12855013,12855191..12855433,12855492..12856475);	2004	Ent3
CG10943-PA	3L:complement(12861792..12862718);	927	CG10943
CG32107-PD	3L:complement(join(12858210..12858293,12858358..12860729,12860798..12861284));	2943	CG32107
CG32107-PE	3L:complement(join(12858346..12860729,12860798..12861284));	2871	CG32107
CG10948-PB	3L:complement(join(12845852..12845853,12848370..12849095,12849158..12849739,12850032..12850035));	1314	CG10948
CG10948-PC	3L:complement(join(12844661..12844924,12845057..12845668,12845734..12845853,12847050..12847156,12848370..12849095,12849158..12849739,12850032..12850035));	2415	CG10948
CG10948-PD	3L:complement(join(12844661..12844924,12845057..12845668,12845734..12845853,12847050..12847156,12848370..12849095,12849158..12849722));	2394	CG10948
CG10960-PC	3L:complement(join(12825739..12826305,12826376..12826627,12826962..12827558));	1416	CG10960
CG10960-PB	3L:complement(join(12825739..12826305,12826376..12826627,12826962..12827582,12831883..12832062));	1620	CG10960
Sf3a2-PA	3L:complement(12813113..12813907);	795	Sf3a2
CG10969-PA	3L:complement(12778928..12781021);	2094	CG10969
CG32106-PD	3L:complement(join(12773997..12775395,12775456..12775533,12775588..12777924,12778025..12778223,12778279..12778459));	4194	CG32106
CG32106-PE	3L:complement(join(12773997..12775395,12775456..12775533,12775588..12777972,12778025..12778223,12778279..12778459));	4242	CG32106
Hip1-PA	3L:complement(join(12768887..12769374,12769432..12769836,12769903..12770338,12770395..12771141,12771206..12771315,12771372..12772102,12772162..12772583,12773275..12773310));	3375	Hip1
Hip1-PB	3L:complement(join(12768887..12769374,12769432..12769836,12769903..12770338,12770395..12771141,12771206..12771315,12771372..12772102,12772162..12772508));	3264	Hip1
Klc-PA	3L:complement(join(12746813..12746830,12746898..12747203,12747275..12747754,12747821..12747941,12748056..12748657));	1527	Klc
Klc-PC	3L:complement(join(12746813..12746827,12746898..12747203,12747275..12747754,12747821..12747941,12748056..12748657));	1524	Klc
Lmx1a-PB	3L:join(12329470..12330253,12334207..12335085,12335160..12335419);	1923	Lmx1a
Lmx1a-PC	3L:join(12329470..12330253,12334210..12335085,12335160..12335419);	1920	Lmx1a
CG10418-PA	3L:join(12336715..12336717,12336779..12336846,12336910..12337126);	288	CG10418
Obp69a-PA	3L:join(12396206..12396277,12396339..12396417,12396483..12396574,12396637..12396739,12396793..12396893);	447	Obp69a
CG10616-PA	3L:join(12471837..12471929,12472022..12472196,12472547..12472637,12472707..12472832,12473185..12474178);	1479	CG10616
CG10616-PB	3L:join(12471837..12471929,12472022..12472196,12472547..12472637,12472707..12472832,12472926..12472973,12473185..12474178);	1527	CG10616
CG10681-PA	3L:join(12501781..12501947,12502004..12502475);	639	CG10681
Pmm2-PA	3L:12534655..12535419;	765	Pmm2
CG4069-PA	3L:complement(join(12535512..12536200,12536260..12536680,12536739..12537044,12537109..12537222));	1530	CG4069
Tsf2-PA	3L:complement(join(12530748..12531806,12531873..12532037,12532101..12532552,12532612..12532772,12532838..12532971,12533051..12533478,12533552..12533612));	2460	Tsf2
nst-PA	3L:complement(join(12527631..12527732,12527802..12529248,12529935..12530035));	1650	nst
eIF2beta-PA	3L:complement(join(12525154..12525677,12525986..12526385,12526589..12526603));	939	eIF2beta
Gcn5-PA	3L:complement(join(12521346..12521875,12521938..12522590,12522645..12523903));	2442	Gcn5
sti-PA	3L:complement(join(12508357..12509972,12510029..12510224,12510301..12511803,12512035..12513402,12513474..12513824,12513881..12514125,12514382..12514667));	5565	sti
sti-PB	3L:complement(join(12508357..12509972,12510029..12510224,12510301..12511803,12512035..12513402,12513462..12513824,12513881..12514125,12514382..12514667));	5577	sti
CG10654-PA	3L:complement(join(12505810..12506487,12507228..12507710));	1161	CG10654
CG10654-PB	3L:complement(join(12505810..12506487,12507150..12507710));	1239	CG10654
CG10646-PA	3L:complement(join(12502625..12503605,12503657..12503827));	1152	CG10646
CG10657-PA	3L:complement(join(12492143..12492397,12492461..12492751,12492817..12493274,12497010..12497010));	1005	CG10657
CG10660-PA	3L:complement(join(12486812..12487447,12488083..12488219,12488555..12488774,12488828..12488960,12489012..12489115,12489741..12489974));	1464	CG10660
CG10660-PB	3L:complement(join(12486812..12487447,12488083..12488219,12488555..12488753,12488828..12488960,12489012..12489115,12489741..12489974));	1443	CG10660
CG10663-PB	3L:complement(join(12475007..12475246,12475304..12475520,12475579..12475693,12475754..12476229,12476450..12477277,12477824..12478131,12479712..12479774));	2247	CG10663
CG32102-PA	3L:complement(12469157..12469423);	267	CG32102
toe-PA	3L:complement(join(12422632..12423267,12423450..12423634,12423701..12424168,12425383..12425523,12427558..12427812,12432076..12432313));	1923	toe
toe-PB	3L:complement(join(12422885..12423250,12423450..12423634,12423701..12424168,12425383..12425523,12427558..12427812,12432076..12432313));	1653	toe
ArfGAP1-PA	3L:complement(join(12415336..12415869,12415945..12416004,12416275..12416479,12416540..12417087,12417153..12417212));	1407	ArfGAP1
ArfGAP1-PB	3L:complement(join(12415336..12415869,12416275..12416479,12416540..12417087,12417153..12417212));	1347	ArfGAP1
SCaMC-PB	3L:complement(join(12404055..12404290,12404363..12404936,12405002..12405160,12412011..12412122,12412185..12412272,12412330..12412456,12413448..12413903));	1752	SCaMC
SCaMC-PC	3L:complement(join(12404055..12404290,12404363..12404936,12405002..12405160,12408110..12408232));	1092	SCaMC
SCaMC-PD	3L:complement(join(12404055..12404290,12404363..12404936,12405002..12405160,12405334..12405417));	1053	SCaMC
Smyd4-2-PA	3L:complement(join(12399597..12399915,12399971..12400192,12400252..12400788,12400849..12401191,12401250..12401820));	1992	Smyd4
CG32104-PB	3L:complement(join(12393869..12394042,12394109..12394521,12394602..12394740,12395042..12395579,12395635..12395792,12395855..12396092,12396905..12396990,12397056..12397365,12397420..12397905,12397972..12398413,12398474..12398702,12398760..12399067,12399141..12399267));	3648	CG32104
Ncc69-PA	3L:complement(join(12368713..12368957,12369049..12369284,12369937..12370166,12370235..12370332,12371761..12372571,12372634..12372769,12372970..12373079,12373140..12373282,12373355..12373520,12373578..12373720,12373785..12373899,12373957..12374210,12374288..12374546,12376001..12376115,12376437..12376616,12379139..12379413));	3516	Ncc69
Ncc69-PC	3L:complement(join(12368713..12368957,12369049..12369284,12369937..12370166,12370235..12370332,12371544..12371603,12371761..12372571,12372634..12372769,12372970..12373079,12373140..12373282,12373355..12373520,12373578..12373720,12373785..12373899,12373957..12374210,12374288..12374546,12376001..12376115,12376437..12376616,12379139..12379413));	3576	Ncc69
Ncc69-PE	3L:complement(join(12368713..12368957,12369049..12369284,12369937..12370166,12370235..12370332,12370959..12371006,12371544..12371603,12371761..12372571,12372634..12372769,12372970..12373079,12373140..12373282,12373355..12373520,12373578..12373720,12373785..12373899,12373957..12374210,12374288..12374546,12376001..12376115,12376437..12376616,12379139..12379413));	3624	Ncc69
CrzR-PA	3L:complement(join(12340079..12340502,12341134..12341285,12342158..12342363,12342428..12342611,12347194..12347967));	1740	CrzR
CrzR-PB	3L:complement(join(12339884..12340502,12341134..12341285,12342158..12342363,12342428..12342611,12347194..12347967));	1935	CrzR
CG17154-PA	3L:12088704..12089072;	369	CG17154
vers-PA	3L:join(12116232..12116459,12116764..12117170,12117244..12117371,12117437..12117849);	1176	vers
ssp-PA	3L:join(12118315..12118626,12118688..12118911,12118972..12119542);	1107	ssp
CG11560-PA	3L:join(12120082..12120588,12120655..12121059);	912	CG11560
CG11560-PB	3L:join(12120082..12120588,12120643..12121059);	924	CG11560
CG11534-PA	3L:join(12132223..12132976,12133029..12133753);	1479	CG11534
RhoGAP68F-PA	3L:join(12140092..12140128,12141252..12141377,12141441..12141476,12141534..12141729,12141793..12142828);	1431	RhoGAP68F
RhoGAP68F-PC	3L:join(12141449..12141476,12141534..12141729,12141793..12142828);	1260	RhoGAP68F
RhoGAP68F-PE	3L:join(12140092..12140128,12141252..12141377,12141444..12141476,12141534..12141729,12141793..12142828);	1428	RhoGAP68F
Nrx-IV-PA	3L:join(12146855..12146960,12148792..12148908,12151820..12152016,12152177..12152318,12152380..12153558,12153623..12153748,12153951..12154154,12154214..12155143,12155203..12155382,12155446..12155790,12155855..12155992,12156051..12156241);	3855	Nrx
Nrx-IV-PB	3L:join(12146855..12146960,12148792..12148908,12151211..12151407,12152177..12152318,12152380..12153558,12153623..12153748,12153951..12154154,12154214..12155143,12155203..12155382,12155446..12155790,12155855..12155992,12156051..12156241);	3855	Nrx
CG32099-PA	3L:12149367..12150239;	873	CG32099
CAH2-PA	3L:join(12180098..12180155,12181676..12182148,12182210..12182437,12182499..12182747);	1008	CAH2
CAH2-PB	3L:join(12181864..12182148,12182210..12182437,12182499..12182747);	762	CAH2
CG6910-PB	3L:join(12186040..12186057,12186123..12186297,12186535..12187111,12187173..12187281);	879	CG6910
CG6910-PC	3L:join(12186156..12186297,12186535..12187111,12187173..12187281);	828	CG6910
Est-6-PA	3L:join(12188859..12190245,12190297..12190544);	1635	Est
Est-P-PA	3L:join(12190738..12192124,12192181..12192428);	1635	Est
CG11529-PA	3L:12197907..12198770;	864	CG11529
CG32100-PA	3L:join(12267630..12267650,12267758..12269200);	1464	CG32100
INPP5E-PA	3L:join(12278660..12279879,12279949..12280863,12280925..12281033);	2244	INPP5E
CG4328-PB	3L:complement(join(12291036..12291241,12291300..12291570,12291639..12291826,12291883..12292097,12292250..12292967,12295834..12295870));	1635	CG4328
Sms-PA	3L:complement(join(12272458..12273041,12273498..12273620,12275076..12275187,12276890..12277174));	1104	Sms
Sms-PB	3L:complement(join(12272458..12273041,12273498..12273620,12274003..12274111,12276890..12277174));	1101	Sms
Sms-PC	3L:complement(join(12272185..12273041,12273498..12273620,12274003..12274111,12276890..12277174));	1374	Sms
Sms-PD	3L:complement(join(12272185..12273041,12273498..12273620,12275076..12275187,12276890..12277174));	1377	Sms
Pbgs-PA	3L:complement(12270292..12271275);	984	Pbgs
CG5626-PA	3L:complement(join(12204681..12205466,12205526..12205713,12205776..12205891,12205944..12206005));	1152	CG5626
Adk1-PA	3L:complement(join(12200537..12200638,12200712..12201089,12201374..12201496,12203719..12203721));	606	Adk1
Adk1-PB	3L:complement(join(12200537..12200638,12200712..12201089,12201374..12201496,12201779..12201862,12203719..12203721));	690	Adk1
thoc6-PA	3L:complement(join(12192496..12193435,12193491..12193603));	1053	thoc6
Rh7-PA	3L:complement(join(12165982..12166874,12167238..12167563,12168142..12168374));	1452	Rh7
CG9760-PC	3L:complement(join(12157959..12158318,12159148..12159582));	795	CG9760
CG9760-PD	3L:complement(join(12157839..12158318,12159148..12159582));	915	CG9760
eIF3l-PA	3L:complement(join(12143551..12143685,12143745..12144717,12144772..12145250,12145956..12145988));	1620	eIF3l
ND-SGDH-PA	3L:complement(join(12137640..12137778,12137838..12137944,12138016..12138245,12138317..12138401));	561	ND
CG5645-PA	3L:complement(join(12133876..12134659,12134725..12134888,12134949..12136450,12136517..12136634));	2568	CG5645
Ir68b-PA	3L:complement(12125487..12127394);	1908	Ir68b
yps-PA	3L:complement(join(12122107..12122154,12122676..12122773,12122837..12123574,12124712..12124886));	1059	yps
yps-PB	3L:complement(join(12122664..12122773,12122837..12123574,12124712..12124886));	1023	yps
CG14131-PA	3L:join(11777222..11777249,11777306..11777505,11778218..11778311,11778425..11780310);	2208	CG14131
CG14131-PB	3L:join(11777222..11777249,11777309..11777505,11778218..11778311,11778425..11780310);	2205	CG14131
CG10907-PA	3L:join(11793587..11794176,11794354..11794737,11794797..11795003,11795063..11795390);	1509	CG10907
Klp68D-PA	3L:join(11795957..11796621,11796727..11798416);	2355	Klp68D
